model,participant,sample_name,selection_category,current_action,history_length,tail_reason,changed,kendall_distance,novel_transition_fraction,target_appended_graph_valid,target_immediate_predecessor_ok,stage_backward_increase,actual_actions,augmented_actions,manual_review_status
A1-Legacy-Once,J,sample_000436,empirically_supported_example,unlock crimper,4,latest_node_not_atomic,True,0.6666666666666666,0.0,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor -> turn on extractor fan,turn on air compressor -> turn on water pump -> turn on extractor fan -> turn on main switch,pending_human_semantic_review
A1-Legacy-Once,J,sample_000772,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A1-Legacy-Once,M,sample_000438,largest_order_perturbation,turn on crimper,6,atomic_sequence_complete,True,0.9333333333333333,0.4,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor -> turn on extractor fan -> unlock crimper -> put lock on table,unlock crimper -> put lock on table -> turn on extractor fan -> turn on air compressor -> turn on water pump -> turn on main switch,pending_human_semantic_review
A1-Legacy-Once,M,sample_000435,most_empirically_atypical,turn on extractor fan,3,latest_node_not_atomic,True,0.3333333333333333,1.0,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor,turn on water pump -> turn on main switch -> turn on air compressor,pending_human_semantic_review
A1-Legacy-Once,M,sample_001026,empirically_supported_example,turn on crimper,3,latest_node_not_atomic,True,0.6666666666666666,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch,turn on main switch -> unlock crimper -> put lock on table,pending_human_semantic_review
A1-Legacy-Once,M,sample_001222,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A3-DualPos-Once,A,sample_001126,largest_order_perturbation,grip sample from table,12,active_incomplete_atomic_prefix,True,0.48484848484848486,0.18181818181818182,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on air compressor -> turn on extractor fan -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> turn on extractor fan -> turn on water pump -> unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> adjust parameters -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,A,sample_000958,most_empirically_atypical,grip sample from table,12,active_incomplete_atomic_prefix,True,0.45454545454545453,0.6363636363636364,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan -> turn on air compressor -> turn on crimper -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,remove protection cover from crimper -> put protection cover on ground -> turn on air compressor -> turn on main switch -> move pedal to safe location -> turn on water pump -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> turn on extractor fan -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,A,sample_001134,empirically_supported_example,place sample under electrodes,20,active_incomplete_atomic_prefix,True,0.18421052631578946,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on air compressor -> turn on extractor fan -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table,turn on air compressor -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on extractor fan -> turn on main switch -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table,pending_human_semantic_review
A3-DualPos-Once,A,sample_000772,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A3-DualPos-Once,D,sample_000391,largest_order_perturbation,grip sample from table,12,active_incomplete_atomic_prefix,True,0.5454545454545454,0.18181818181818182,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on extractor fan -> turn on water pump -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,move pedal to safe location -> turn on extractor fan -> remove protection cover from crimper -> put protection cover on ground -> turn on air compressor -> turn on water pump -> turn on main switch -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,D,sample_000958,most_empirically_atypical,grip sample from table,12,active_incomplete_atomic_prefix,True,0.45454545454545453,0.6363636363636364,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on water pump -> turn on extractor fan -> turn on air compressor -> turn on crimper -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,remove protection cover from crimper -> put protection cover on ground -> turn on air compressor -> turn on main switch -> move pedal to safe location -> turn on water pump -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> turn on extractor fan -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,D,sample_001222,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A3-DualPos-Once,J,sample_000062,largest_order_perturbation,grip sample from table,12,active_incomplete_atomic_prefix,True,0.48484848484848486,0.18181818181818182,True,True,0,turn on main switch -> unlock crimper -> put lock on table -> turn on crimper -> turn on extractor fan -> turn on water pump -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> turn on water pump -> turn on extractor fan -> unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on air compressor -> adjust parameters -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,J,sample_000437,most_empirically_atypical,put lock on table,5,active_incomplete_atomic_prefix,True,0.2,0.5,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor -> turn on extractor fan -> unlock crimper,turn on water pump -> turn on main switch -> turn on extractor fan -> turn on air compressor -> unlock crimper,pending_human_semantic_review
A3-DualPos-Once,J,sample_000762,empirically_supported_example,press pedal,21,active_incomplete_atomic_prefix,True,0.10476190476190476,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes,remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on extractor fan -> unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on air compressor -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes,pending_human_semantic_review
A3-DualPos-Once,J,sample_000772,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
A3-DualPos-Once,M,sample_000391,largest_order_perturbation,grip sample from table,12,active_incomplete_atomic_prefix,True,0.5454545454545454,0.36363636363636365,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on extractor fan -> turn on water pump -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table,move pedal to safe location -> turn on extractor fan -> remove protection cover from crimper -> put protection cover on ground -> turn on air compressor -> turn on water pump -> turn on main switch -> unlock crimper -> put lock on table -> turn on crimper -> adjust parameters -> take plier from table,pending_human_semantic_review
A3-DualPos-Once,M,sample_000437,most_empirically_atypical,put lock on table,5,active_incomplete_atomic_prefix,True,0.2,0.75,True,True,0,turn on main switch -> turn on water pump -> turn on air compressor -> turn on extractor fan -> unlock crimper,turn on water pump -> turn on main switch -> turn on extractor fan -> turn on air compressor -> unlock crimper,pending_human_semantic_review
A3-DualPos-Once,M,sample_000762,empirically_supported_example,press pedal,21,active_incomplete_atomic_prefix,True,0.10476190476190476,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> move pedal to safe location -> remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on air compressor -> turn on extractor fan -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes,remove protection cover from crimper -> put protection cover on ground -> turn on water pump -> turn on extractor fan -> unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on air compressor -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes,pending_human_semantic_review
A3-DualPos-Once,M,sample_001222,unchanged_or_ineligible,put plier on table,31,repeated_node_fallback,False,0.0,0.0,True,True,0,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,unlock crimper -> put lock on table -> turn on main switch -> turn on crimper -> turn on water pump -> turn on extractor fan -> turn on air compressor -> remove protection cover from crimper -> put protection cover on ground -> move pedal to safe location -> adjust parameters -> take plier from table -> grip sample from table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> put sample on machine table -> grip sample from machine table -> reverse sample -> put sample on machine table -> grip sample from machine table -> place sample under electrodes -> press pedal -> inspect sample -> put sample on table,pending_human_semantic_review
